id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28303715,Exquisite 7 br House in Best Area**Sleeps 31**Rare,41862889,Inna,,Near North Side,41.90672,-87.63839,Entire home/apt,699,1,4,2019-03-24,0.92,7,182
28313868,Sexy condo with expansive views.,35342341,Kayla,,Near North Side,41.898,-87.64369,Entire home/apt,2500,1,0,,,1,0
28313956,Miss Della's Garden Suite,8675198,Kila,,Grand Boulevard,41.80808,-87.60936,Entire home/apt,80,1,21,2019-04-02,2.94,1,84
28316664,SPACIOUS 3 BR LINCOLN PARK HOME *FREE PARKING!*,156330040,Madeline,,Lincoln Park,41.91363,-87.65131,Entire home/apt,211,1,34,2019-04-01,4.81,4,101
28316713,G1. Next to Downtown!Best location-most affordable,145551824,Aaron Emisael,,Mckinley Park,41.83297,-87.66569,Private room,29,1,34,2019-03-21,4.62,9,129
28317239,G2. Next to Downtown!Best location&Most affordable,145551824,Aaron Emisael,,Mckinley Park,41.83421,-87.66413,Private room,29,1,39,2019-03-23,5.34,9,113
28317414,G3. Next to Downtown!Best Location&Most Affordable,145551824,Aaron Emisael,,Mckinley Park,41.83301,-87.66438,Private room,29,1,19,2019-03-29,2.61,9,114
28318957,Chicago Multi-unit building,147999990,Ryan,,Morgan Park,41.69006,-87.68151,Private room,150,1,0,,,2,180
28333851,Humboldt Hide Away,213949389,Chad,,West Town,41.9053,-87.6887,Entire home/apt,85,1,34,2019-04-12,6.99,1,53
28340247,Cozy Downtown Hyde Park Apartment,211421917,Windy,,Kenwood,41.80296,-87.58562,Entire home/apt,100,1,21,2019-04-07,2.93,1,37
28340486,Oasis in The Chi - QUEEN2,17493679,Cass,,Auburn Gresham,41.75275,-87.65634,Private room,79,2,1,2018-10-07,0.16,3,89
28358155,Highrise Lux 2B/1B at Riverwalk- 5 stars amenities,12178834,Kim,,Loop,41.88813,-87.61938,Entire home/apt,398,3,2,2019-03-18,0.34,6,338
28359732,Custom Apartment in the heart of Avondale,30435360,Jen,,Avondale,41.93442,-87.71063,Entire home/apt,225,2,7,2019-04-08,1.11,1,342
28361473,Opulent 3bdr2bth Old Town Luxury + Parking prmts,88052222,Adrian & Veronica,,Lincoln Park,41.91432,-87.6359,Entire home/apt,350,1,12,2019-03-20,1.68,4,311
28364302,GoldCoast Home for Filming,214153771,Chris,,Near North Side,41.90706,-87.63153,Entire home/apt,650,2,5,2019-03-17,0.82,1,176
28364650,Cozy Private Coach House,52725236,Wendi,,Logan Square,41.92301,-87.70212,Entire home/apt,71,1,49,2019-04-09,7.70,2,31
28367058,Massive Ultra Luxury Condo W/ Rooftop Deck (AF),11129557,Rent Local,,Near West Side,41.87829,-87.66969,Entire home/apt,114,1,47,2019-04-13,7.16,19,0
28367120,Massive Ultra Luxury Condo W/ Rooftop Deck (AG),11129557,Rent Local,,Near West Side,41.87964,-87.66769,Entire home/apt,113,1,33,2019-04-07,4.95,19,3
